127.0.0.1, 2018-04-06 09:48:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2018-04-06 09:48:15, POST, /admin/default/index, HTTP/1.1, 200, 2.028405
127.0.0.1, 2018-04-06 09:48:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2018-04-06 09:48:34, GET, /admin/default/index, HTTP/1.1, 200, 0.014660
127.0.0.1, 2018-04-06 09:48:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2018-04-06 09:48:42, GET, /admin/default/index, HTTP/1.1, 200, 0.016642
127.0.0.1, 2018-04-06 09:48:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2018-04-06 09:49:07, GET, /codetrain/default/register, HTTP/1.1, 404, 0.000464
127.0.0.1, 2018-04-06 09:49:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2018-04-06 09:49:35, GET, /codetrain/default/, HTTP/1.1, 404, 0.000686
127.0.0.1, 2018-04-06 09:49:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2018-04-06 09:49:42, GET, /codetrain, HTTP/1.1, 404, 0.000480
127.0.0.1, 2018-04-06 09:49:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2018-04-06 09:49:48, GET, /, HTTP/1.1, 303, 0.000614
127.0.0.1, 2018-04-06 09:49:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.026454
127.0.0.1, 2018-04-06 09:49:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.032828
127.0.0.1, 2018-04-06 09:50:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.028545
127.0.0.1, 2018-04-06 09:51:06, GET, /admin/default/site, HTTP/1.1, 303, 0.003084
127.0.0.1, 2018-04-06 09:51:06, GET, /admin/default/index, HTTP/1.1, 200, 0.017360
127.0.0.1, 2018-04-06 09:51:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-04-06 09:51:25, POST, /admin/default/index, HTTP/1.1, 303, 0.013682
127.0.0.1, 2018-04-06 09:51:26, GET, /admin/default/site, HTTP/1.1, 200, 0.157323
127.0.0.1, 2018-04-06 09:51:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.258124
127.0.0.1, 2018-04-06 09:51:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2018-04-06 09:51:56, GET, /Codetrain/default/index, HTTP/1.1, 404, 0.368537
127.0.0.1, 2018-04-06 09:51:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2018-04-06 09:52:08, GET, /Codetrain/default/register, HTTP/1.1, 200, 0.210372
127.0.0.1, 2018-04-06 09:52:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000519
127.0.0.1, 2018-04-06 09:52:36, POST, /Codetrain/default/store, HTTP/1.1, 200, 0.282276
127.0.0.1, 2018-04-06 09:52:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000371
127.0.0.1, 2018-04-06 21:49:22, GET, /Codetrain/appadmin, HTTP/1.1, 303, 0.078238
127.0.0.1, 2018-04-06 21:49:22, GET, /admin/default/index, HTTP/1.1, 200, 0.010500
127.0.0.1, 2018-04-06 21:49:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000894
127.0.0.1, 2018-04-06 21:49:30, POST, /admin/default/index, HTTP/1.1, 303, 0.012460
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/appadmin/index, HTTP/1.1, 200, 0.097266
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/calendar.js, HTTP/1.1, 200, 0.013879
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.015177
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/jquery.js, HTTP/1.1, 200, 0.015231
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.018180
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.016689
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/css/calendar.css, HTTP/1.1, 200, 0.015973
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/web2py.js, HTTP/1.1, 200, 0.000354
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000715
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/js/share.js, HTTP/1.1, 200, 0.000414
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/images/facebook.png, HTTP/1.1, 200, 0.001122
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/images/gplus-32.png, HTTP/1.1, 200, 0.001509
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/images/twitter.png, HTTP/1.1, 200, 0.006029
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/static/images/favicon.ico, HTTP/1.1, 200, 0.000797
127.0.0.1, 2018-04-06 21:49:30, GET, /Codetrain/appadmin/hooks, HTTP/1.1, 200, 0.046090
127.0.0.1, 2018-04-06 21:49:53, GET, /Codetrain/appadmin/select/db, HTTP/1.1, 200, 0.033910
